Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,19649724655.5819,23963162969.3832,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Algeria,DZA,154656835.689699,176276220.647112,255213005.32701,212038088.270125,191497457.050388,172182810.415729,192812901.274168,157476432.79942,132078821.936934,90765792.3442339,74097259.4310992
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Morocco,MAR,1003096667.02254,1140394196.79829,1096403165.5975,1142310069.57492,1588253680.60278,1436003560.67557,1440057102.85724,1492626585.806,1666561944.74976,1586425696.37392,1835752481.46424
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Kenya,KEN,357174483.043774,386719989.154438,467588858.557019,515175648.649776,755711724.114998,550307434.561937,451360165.698429,473090014.312925,570245522.266492,628827610.941533,567129881.228679
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Ghana,GHA,..,..,..,..,..,..,..,..,84097317.3264988,102528360.488028,121816372.907272
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Tanzania,TZA,34815511.354402,34380000,42901716.503324,50210996.0331416,47260152.2910831,50676549.3686098,29081744.2352768,15962990.9169816,22248701.3233485,28744227.8822466,13566904.2076594
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Peru,PER,125254200,158179950,163810553.135983,123479365.615177,140746525.801549,122183316.960875,112072986.516329,101176862.24899,108513658.206156,112561099.593895,105292041.06448
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,Bolivia,BOL,63533000,82950000,90842484.4455795,100449422.377533,88750763.723017,80190565.7724649,68870413.3107067,71634100.2149847,85529357.1398237,43855777.0475784,49436385.9187934
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,
